Game #,Max Tile,Weights,Time (s)
1,4096,"[40, 200, 270, 500]",114.991
2,4096,"[135, 118, 462, 382]",143.149
3,2048,"[40, 100, 270, 500]",67.083
4,4096,"[67, 236, 414, 298]",125.565
5,4096,"[163, 333, 468, 161]",156.838
6,4096,"[360, 221, 12, 398]",148.339
7,4096,"[194, 23, 475, 261]",140.733
8,2048,"[41, 193, 443, 497]",77.273
9,2048,"[328, 317, 328, 237]",60.588
10,2048,"[197, 56, 76, 109]",78.338
11,4096,"[4, 469, 58, 346]",150.194
12,2048,"[17, 93, 269, 72]",75.741
13,2048,"[12, 421, 331, 18]",78.987
14,4096,"[435, 126, 29, 441]",105.671
15,2048,"[168, 470, 86, 207]",64.541
16,2048,"[240, 140, 86, 237]",82.557
17,4096,"[469, 354, 258, 248]",151.247
18,2048,"[58, 205, 110, 316]",78.75
19,4096,"[235, 103, 19, 483]",133.868
20,2048,"[11, 430, 345, 317]",60.61
21,2048,"[160, 278, 300, 50]",73.599
22,2048,"[199, 437, 353, 48]",58.276
23,2048,"[65, 347, 493, 186]",77.66
24,4096,"[461, 283, 59, 300]",110.483
25,2048,"[76, 472, 230, 1]",69.214
26,4096,"[171, 449, 240, 441]",114.11
27,2048,"[459, 271, 429, 96]",77.102
28,4096,"[214, 262, 24, 197]",131.537
29,4096,"[407, 444, 49, 459]",133.997
30,4096,"[189, 21, 194, 152]",133.018
31,4096,"[112, 71, 88, 402]",113.57
32,4096,"[466, 203, 100, 138]",133.381
33,2048,"[32, 408, 7, 200]",78.634
34,2048,"[15, 258, 230, 16]",61.983
35,8192,"[121, 224, 399, 60]",185.216
36,2048,"[137, 102, 451, 116]",73.508
37,4096,"[167, 454, 169, 93]",115.28
38,2048,"[192, 161, 432, 316]",69.517
39,4096,"[498, 150, 185, 435]",109.368
40,4096,"[470, 118, 463, 357]",113.667
41,2048,"[446, 211, 313, 223]",80.536
42,4096,"[255, 141, 157, 198]",140.78
43,4096,"[83, 357, 374, 146]",112.532
44,4096,"[282, 270, 489, 47]",140.515
45,4096,"[176, 367, 400, 256]",95.507
46,4096,"[73, 165, 490, 345]",128.39
47,2048,"[41, 209, 252, 132]",47.537
48,4096,"[349, 45, 94, 134]",115.775
49,2048,"[293, 126, 102, 317]",67.052
50,2048,"[132, 411, 250, 339]",67.837
